Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)	Gene ontology (biological process)	Gene ontology (molecular function)
P16401	H15_HUMAN	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	Homo sapiens (Human)	226	HIST1H1B	nuclear chromatin [GO:0000790]; nuclear heterochromatin [GO:0005720]; nucleosome [GO:0000786]; nucleus [GO:0005634]	chromatin organization [GO:0006325]; chromosome condensation [GO:0030261]; establishment of protein localization to chromatin [GO:0071169]; negative regulation of chromatin silencing [GO:0031936]; negative regulation of DNA recombination [GO:0045910]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome assembly [GO:0006334]; nucleosome positioning [GO:0016584]; positive regulation of cell growth [GO:0030307]; positive regulation of histone H3-K9 methylation [GO:0051574]; protein stabilization [GO:0050821]; regulation of transcription, DNA-templated [GO:0006355]	chromatin DNA binding [GO:0031490]; double-stranded DNA binding [GO:0003690]; histone deacetylase binding [GO:0042826]; nucleosomal DNA binding [GO:0031492]; RNA binding [GO:0003723]
P17987	TCPA_HUMAN	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	Homo sapiens (Human)	556	TCP1	acrosomal vesicle [GO:0001669]; cell body [GO:0044297]; centrosome [GO:0005813]; chaperonin-containing T-complex [GO:0005832]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; nuclear heterochromatin [GO:0005720]; pericentriolar material [GO:0000242]; zona pellucida receptor complex [GO:0002199]	binding of sperm to zona pellucida [GO:0007339]; interleukin-12-mediated signaling pathway [GO:0035722]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of macrophage apoptotic process [GO:2000109]; scaRNA localization to Cajal body [GO:0090666]; toxin transport [GO:1901998]; translocation of peptides or proteins into host cell cytoplasm [GO:0044053]; tubulin complex assembly [GO:0007021]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
P18031	PTN1_HUMAN	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	Homo sapiens (Human)	435	PTPN1	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; protein-containing complex [GO:0032991]; sorting endosome [GO:0097443]	actin cytoskeleton reorganization [GO:0031532]; activation of JUN kinase activity [GO:0007257]; cellular response to unfolded protein [GO:0034620]; endoplasmic reticulum unfolded protein response [GO:0030968]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; insulin receptor signaling pathway [GO:0008286]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of signal transduction [GO:0009968]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; peptidyl-tyrosine dephosphorylation [GO:0035335]; peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity [GO:1990264]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of receptor catabolic process [GO:2000646]; protein dephosphorylation [GO:0006470]; regulation of endocytosis [GO:0030100]; regulation of hepatocyte growth factor receptor signaling pathway [GO:1902202]; regulation of intracellular protein transport [GO:0033157]; regulation of signal transduction [GO:0009966]; regulation of type I interferon-mediated signaling pathway [GO:0060338]	cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; insulin receptor binding [GO:0005158]; protein kinase binding [GO:0019901]; protein phosphatase 2A binding [GO:0051721]; protein tyrosine phosphatase activity [GO:0004725]; receptor tyrosine kinase binding [GO:0030971]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
P23284	PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	Homo sapiens (Human)	216	PPIB	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; smooth endoplasmic reticulum [GO:0005790]	bone development [GO:0060348]; chaperone-mediated protein folding [GO:0061077]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation by host of viral process [GO:0044794]; positive regulation of multicellular organism growth [GO:0040018]; protein peptidyl-prolyl isomerization [GO:0000413]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]	cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; unfolded protein binding [GO:0051082]
P25398	RS12_HUMAN	40S ribosomal protein S12 (Small ribosomal subunit protein eS12)	Homo sapiens (Human)	132	RPS12	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P29558	RBMS1_HUMAN	RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1) (Suppressor of CDC2 with RNA-binding motif 2)	Homo sapiens (Human)	406	RBMS1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	DNA replication [GO:0006260]; RNA processing [GO:0006396]	double-stranded DNA binding [GO:0003690]; mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]
P31944	CASPE_HUMAN	Caspase-14 (CASP-14) (EC 3.4.22.-) [Cleaved into: Caspase-14 subunit p17, mature form; Caspase-14 subunit p10, mature form; Caspase-14 subunit p20, intermediate form; Caspase-14 subunit p8, intermediate form]	Homo sapiens (Human)	242	CASP14	cytoplasm [GO:0005737]; cytosol [GO:0005829]; keratin filament [GO:0045095]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	apoptotic process [GO:0006915]; cornification [GO:0070268]; epidermis development [GO:0008544]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; keratinization [GO:0031424]	cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic process [GO:0097153]; endopeptidase activity [GO:0004175]
P35241	RADI_HUMAN	Radixin	Homo sapiens (Human)	583	RDX	apical plasma membrane [GO:0016324]; cell-cell adherens junction [GO:0005913]; cell periphery [GO:0071944]; cell tip [GO:0051286]; cleavage furrow [GO:0032154]; cortical actin cytoskeleton [GO:0030864]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; microvillus [GO:0005902]; midbody [GO:0030496]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; stereocilium [GO:0032420]; T-tubule [GO:0030315]	apical protein localization [GO:0045176]; barbed-end actin filament capping [GO:0051016]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to thyroid hormone stimulus [GO:0097067]; establishment of endothelial barrier [GO:0061028]; establishment of protein localization [GO:0045184]; microvillus assembly [GO:0030033]; negative regulation of adherens junction organization [GO:1903392]; negative regulation of cell size [GO:0045792]; negative regulation of GTPase activity [GO:0034260]; negative regulation of homotypic cell-cell adhesion [GO:0034111]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of early endosome to late endosome transport [GO:2000643]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of protein localization to early endosome [GO:1902966]; protein kinase A signaling [GO:0010737]; protein localization to plasma membrane [GO:0072659]; regulation of actin filament bundle assembly [GO:0032231]; regulation of cell shape [GO:0008360]; regulation of cell size [GO:0008361]; regulation of GTPase activity [GO:0043087]; regulation of organelle assembly [GO:1902115]; regulation of Rap protein signal transduction [GO:0032487]; regulation of ruffle assembly [GO:1900027]	actin binding [GO:0003779]; ATPase binding [GO:0051117]; cadherin binding [GO:0045296]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; protein kinase A binding [GO:0051018]; RNA binding [GO:0003723]
P37108	SRP14_HUMAN	Signal recognition particle 14 kDa protein (SRP14) (18 kDa Alu RNA-binding protein)	Homo sapiens (Human)	136	SRP14	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; signal recognition particle, endoplasmic reticulum targeting [GO:0005786]	cotranslational protein targeting to membrane [GO:0006613]; neutrophil degranulation [GO:0043312]; protein targeting to ER [GO:0045047]; response to drug [GO:0042493]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	7S RNA binding [GO:0008312]; endoplasmic reticulum signal peptide binding [GO:0030942]; RNA binding [GO:0003723]
P47813	IF1AX_HUMAN	Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)	Homo sapiens (Human)	144	EIF1AX	cytosol [GO:0005829]	translational initiation [GO:0006413]	RNA binding [GO:0003723]; translation factor activity, RNA binding [GO:0008135]; translation initiation factor activity [GO:0003743]
P50454	SERPH_HUMAN	Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47)	Homo sapiens (Human)	418	SERPINH1	collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; membrane raft [GO:0045121]	chondrocyte development involved in endochondral bone morphogenesis [GO:0003433]; collagen biosynthetic process [GO:0032964]; collagen fibril organization [GO:0030199]; negative regulation of endopeptidase activity [GO:0010951]; protein maturation [GO:0051604]; response to unfolded protein [GO:0006986]	collagen binding [GO:0005518]; RNA binding [GO:0003723]; serine-type endopeptidase inhibitor activity [GO:0004867]; unfolded protein binding [GO:0051082]
P50991	TCPD_HUMAN	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)	Homo sapiens (Human)	539	CCT4	cell body [GO:0044297]; cell projection [GO:0042995]; centrosome [GO:0005813]; chaperonin-containing T-complex [GO:0005832]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; zona pellucida receptor complex [GO:0002199]	binding of sperm to zona pellucida [GO:0007339]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; scaRNA localization to Cajal body [GO:0090666]; toxin transport [GO:1901998]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
P50995	ANX11_HUMAN	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	Homo sapiens (Human)	505	ANXA11	azurophil granule [GO:0042582]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; phagocytic vesicle [GO:0045335]; specific granule [GO:0042581]; spindle [GO:0005819]	cytokinetic process [GO:0032506]; phagocytosis [GO:0006909]; response to calcium ion [GO:0051592]	calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; calcium ion binding [GO:0005509]; MHC class II protein complex binding [GO:0023026]; phosphatidylethanolamine binding [GO:0008429]; RNA binding [GO:0003723]; S100 protein binding [GO:0044548]
P55769	NH2L1_HUMAN	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	Homo sapiens (Human)	128	SNU13	box C/D snoRNP complex [GO:0031428]; dense fibrillar component [GO:0001651]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; small-subunit processome [GO:0032040]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4atac snRNP [GO:0005690]	box C/D snoRNP assembly [GO:0000492]; maturation of LSU-rRNA [GO:0000470]; mRNA splicing, via spliceosome [GO:0000398]; rRNA processing [GO:0006364]; single fertilization [GO:0007338]	ATPase binding [GO:0051117]; box C/D snoRNA binding [GO:0034512]; RNA binding [GO:0003723]; U3 snoRNA binding [GO:0034511]; U4atac snRNA binding [GO:0030622]; U4 snRNA binding [GO:0030621]
P62308	RUXG_HUMAN	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	Homo sapiens (Human)	76	SNRPG	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P granule [GO:0043186]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type prespliceosome [GO:0071004]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]; U7 snRNP [GO:0005683]	histone mRNA metabolic process [GO:0008334]; import into nucleus [GO:0051170]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; termination of RNA polymerase II transcription [GO:0006369]	RNA binding [GO:0003723]
P62316	SMD2_HUMAN	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	Homo sapiens (Human)	118	SNRPD2	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]	import into nucleus [GO:0051170]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]	RNA binding [GO:0003723]
